Codice ISTAT,Codice Regione,Codice Provincia,Codice Comune,Regione,Provincia,Comune,Latitudine,Longitudine
008044,ITC3,ITC31,008044,Liguria,Imperia,Pompeiana,43.853721,7.889848
010025,ITC3,ITC33,010025,Liguria,Genova,Genova,44.40726,8.9338624
009001,ITC3,ITC32,009001,Liguria,Savona,Alassio,44.0080109,8.1730265
010037,ITC3,ITC33,010037,Liguria,Genova,Moneglia,44.2385001,9.4899769
010006,ITC3,ITC33,010006,Liguria,Genova,Busalla,44.573483,8.9433002
011016,ITC3,ITC34,011016,Liguria,La Spezia,Lerici,44.0736073,9.9099135
009011,ITC3,ITC32,009011,Liguria,Savona,Boissano,44.1357684,8.2217538
011006,ITC3,ITC34,011006,Liguria,La Spezia,Borghetto di Vara,44.2236798,9.7214041
009033,ITC3,ITC32,009033,Liguria,Savona,Laigueglia,43.9788263,8.157351
009036,ITC3,ITC32,009036,Liguria,Savona,Mallare,44.2909819,8.2966494
010038,ITC3,ITC33,010038,Liguria,Genova,Montebruno,44.5257423,9.2475673
008031,ITC3,ITC31,008031,Liguria,Imperia,Imperia,43.8862958,8.0267106
008012,ITC3,ITC31,008012,Liguria,Imperia,Caravonica,43.993025,7.958047
010054,ITC3,ITC33,010054,Liguria,Genova,Santa Margherita Ligure,44.3339761,9.2111267
009030,ITC3,ITC32,009030,Liguria,Savona,Garlenda,44.034227,8.09565
008035,ITC3,ITC31,008035,Liguria,Imperia,Molini di Triora,43.9903183,7.7744405
009012,ITC3,ITC32,009012,Liguria,Savona,Borghetto Santo Spirito,44.1144461,8.235328
009003,ITC3,ITC32,009003,Liguria,Savona,Albissola Marina,44.3272723,8.5031895
009069,ITC3,ITC32,009069,Liguria,Savona,Zuccarello,44.111029,8.115849
008062,ITC3,ITC31,008062,Liguria,Imperia,Vallebona,43.812718,7.666544
009016,ITC3,ITC32,009016,Liguria,Savona,Calice Ligure,44.204933,8.295351
008057,ITC3,ITC31,008057,Liguria,Imperia,Seborga,43.826406,7.6945093
008017,ITC3,ITC31,008017,Liguria,Imperia,Cervo,43.9257729,8.1151521
ITC34,ITC3,ITC34,,,La Spezia,,44.1033871,9.8217022
010062,ITC3,ITC33,010062,Liguria,Genova,Torriglia,44.5193954,9.1583522
010052,ITC3,ITC33,010052,Liguria,Genova,Rovegno,44.5767478,9.2791616
008003,ITC3,ITC31,008003,Liguria,Imperia,Aquila d'Arroscia,44.085927,8.005247
009019,ITC3,ITC32,009019,Liguria,Savona,Casanova Lerrone,44.0321164,8.0502228
010034,ITC3,ITC33,010034,Liguria,Genova,Mezzanego,44.3920085,9.407722
010015,ITC3,ITC33,010015,Liguria,Genova,Chiavari,44.3164494,9.3233382
008063,ITC3,ITC31,008063,Liguria,Imperia,Vallecrosia,43.7888272,7.6434111
009062,ITC3,ITC32,009062,Liguria,Savona,Tovo San Giacomo,44.1764742,8.2684492
008021,ITC3,ITC31,008021,Liguria,Imperia,Cipressa,43.8510162,7.9309503
009053,ITC3,ITC32,009053,Liguria,Savona,Rialto,44.2258176,8.2631084
008033,ITC3,ITC31,008033,Liguria,Imperia,Lucinasco,43.8862958,8.0267106
008013,ITC3,ITC31,008013,Liguria,Imperia,Carpasio,43.9597733,7.8664778
010017,ITC3,ITC33,010017,Liguria,Genova,Cogoleto,44.3893419,8.6428599
011007,ITC3,ITC34,011007,Liguria,La Spezia,Brugnato,44.237038,9.7241009
010014,ITC3,ITC33,010014,Liguria,Genova,Ceranesi,44.5112695,8.8789407
009002,ITC3,ITC32,009002,Liguria,Savona,Albenga,44.0492503,8.2131239
011022,ITC3,ITC34,011022,Liguria,La Spezia,Portovenere,44.0506605,9.8344585
ITC32,ITC3,ITC32,,,Savona,,44.3080251,8.4810315
010049,ITC3,ITC33,010049,Liguria,Genova,Ronco Scrivia,44.6132988,8.9523681
009017,ITC3,ITC32,009017,Liguria,Savona,Calizzano,44.2368806,8.1144696
011002,ITC3,ITC34,011002,Liguria,La Spezia,Arcola,44.1143821,9.9059673
009018,ITC3,ITC32,009018,Liguria,Savona,Carcare,44.3574727,8.2901625
010059,ITC3,ITC33,010059,Liguria,Genova,Sestri Levante,44.2714526,9.3958627
009046,ITC3,ITC32,009046,Liguria,Savona,Osiglia,44.2826316,8.2021436
011019,ITC3,ITC34,011019,Liguria,La Spezia,Monterosso al Mare,44.1465216,9.6555583
008045,ITC3,ITC31,008045,Liguria,Imperia,Pontedassio,43.940324,8.01385
009042,ITC3,ITC32,009042,Liguria,Savona,Noli,44.2058832,8.416419
010040,ITC3,ITC33,010040,Liguria,Genova,Ne,44.3519258,9.4402573
009050,ITC3,ITC32,009050,Liguria,Savona,Plodio,44.3511944,8.2564515
009015,ITC3,ITC32,009015,Liguria,Savona,Cairo Montenotte,44.3992684,8.2745606
