Codice Regione,Codice Provincia,Codice Comune,regione,Provincia,Comune,Codice ISTAT,Latitude,Longitude
ITC3,ITC32,009065,,,Varazze,009065,44.3592996,8.5753273
ITC3,ITC32,009066,,,Vendone,009066,44.0747064,8.0739301
ITC3,ITC32,009067,,,Vezzi Portio,009067,44.23754985,8.353740825847455
ITC3,ITC32,009068,,,Villanova Di Albenga,009068,44.067723199999996,8.1688826
ITC3,ITC32,009069,,,Zuccarello,009069,44.111029,8.115849
ITC3,ITC33,010001,,,Arenzano,010001,44.4025183,8.6831317
ITC3,ITC33,010002,,,Avegno,010002,44.3913363,9.1563156
ITC3,ITC33,010003,,,Bargagli,010003,44.4478019,9.087661
ITC3,ITC33,010004,,,Bogliasco,010004,44.3790556,9.0679508
ITC3,ITC33,010005,,,Borzonasca,010005,44.422248,9.38657
ITC3,ITC33,010006,,,Busalla,010006,44.573483,8.9433002
ITC3,ITC33,010007,,,Camogli,010007,44.349247,9.158863
ITC3,ITC33,010008,,,Campo Ligure,010008,44.537644,8.698153
ITC3,ITC33,010009,,,Campomorone,010009,44.507337,8.8901102
ITC3,ITC33,010010,,,Carasco,010010,44.3497559,9.3456502
ITC3,ITC33,010011,,,Casarza Ligure,010011,44.2735459,9.4497709
ITC3,ITC33,010012,,,Casella,010012,44.5355862,8.9967857
ITC3,ITC33,010013,,,Castiglione Chiavarese,010013,44.2740903,9.5146752
ITC3,ITC33,010014,,,Ceranesi,010014,44.5112695,8.8789407
ITC3,ITC33,010015,,,Chiavari,010015,44.3164494,9.3233382
ITC3,ITC33,010016,,,Cicagna,010016,44.4093233,9.2355333
ITC3,ITC33,010017,,,Cogoleto,010017,44.3893419,8.6428599
ITC3,ITC33,010018,,,Cogorno,010018,44.3330809,9.3724611
ITC3,ITC33,010019,,,Coreglia Ligure,010019,44.3829,9.2643137
ITC3,ITC33,010020,,,Crocefieschi,010020,44.5797477,9.0239649
ITC3,ITC33,010021,,,Davagna,010021,44.4669525,9.0909582
ITC3,ITC33,010022,,,Fascia,010022,44.5719677,9.2356396
ITC3,ITC33,010023,,,Favale Di Malvaro,010023,44.4529968,9.2595603
ITC3,ITC33,010024,,,Fontanigorda,010024,44.54605,9.304466
ITC3,ITC33,010025,,,Genova (comune),010025,44.453088050000005,8.978128529138868
ITC3,ITC33,010026,,,Gorreto,010026,44.6048462,9.2912637
ITC3,ITC33,010027,,,Isola Del Cantone,010027,44.6456444,8.9575577
ITC3,ITC33,010028,,,Lavagna,010028,44.3121536,9.3417059
ITC3,ITC33,010029,,,Leivi,010029,44.3544648,9.3151786
ITC3,ITC33,010030,,,Lorsica*,010030,44.445276,9.2843109
