DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,MAIN_DESTINATION,TYPE_TRIP,MAIN_TYPE_ACCOMMODATION,SEX,AGE,LABPROF_STATUS_C,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_MAIN_DESTINATION,NOTE_TYPE_TRIP,NOTE_MAIN_TYPE_ACCOMMODATION,NOTE_SEX,NOTE_AGE,NOTE_LABPROF_STATUS_C,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2D2,2023,861,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,99,2016,23545,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,99,2017,19802,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,99,2018,35549,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,99,2019,27269,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,99,2020,8871,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,99,2021,14195,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,99,2022,14374,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,99,2023,16602,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1,2016,157208,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1,2017,154614,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1,2018,184111,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1,2019,170568,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1,2020,98776,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1,2021,122109,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1,2022,157124,,,,,,,,,,,,,,
